activation,layers,min_loss,neurons
relu,1.0,0.49554064869880676,4.0
relu,2.0,0.43038180470466614,4.0
relu,4.0,3.246183156967163,4.0
relu,8.0,0.26854172348976135,4.0
relu,16.0,3.2462105751037598,4.0
relu,32.0,3.246192455291748,4.0
relu,64.0,3.2461326122283936,4.0
relu,128.0,3.2461955547332764,4.0
sigmoid,1.0,0.6849277019500732,4.0
sigmoid,2.0,0.4436909258365631,4.0
sigmoid,4.0,0.4454362988471985,4.0
sigmoid,8.0,0.44637587666511536,4.0
sigmoid,16.0,3.246108293533325,4.0
sigmoid,32.0,3.2459614276885986,4.0
sigmoid,64.0,3.245558738708496,4.0
sigmoid,128.0,3.246044158935547,4.0
tanh,1.0,0.4693255126476288,4.0
tanh,2.0,0.27189505100250244,4.0
tanh,4.0,0.11360450834035873,4.0
tanh,8.0,0.0035710379015654325,4.0
tanh,16.0,0.0034323828294873238,4.0
tanh,32.0,0.14953193068504333,4.0
tanh,64.0,0.57926344871521,4.0
tanh,128.0,3.245842933654785,4.0
relu,1.0,2.151228904724121,4.0
relu,2.0,0.21543940901756287,4.0
relu,4.0,0.03071923740208149,4.0
relu,8.0,0.3131527900695801,4.0
relu,16.0,2.151226282119751,4.0
relu,32.0,2.1512231826782227,4.0
relu,64.0,2.1512300968170166,4.0
relu,128.0,2.1512062549591064,4.0
sigmoid,1.0,0.38982972502708435,4.0
sigmoid,2.0,0.39234936237335205,4.0
sigmoid,4.0,0.3935852348804474,4.0
sigmoid,8.0,0.39537861943244934,4.0
sigmoid,16.0,2.150866746902466,4.0
sigmoid,32.0,2.1511597633361816,4.0
sigmoid,64.0,2.151143789291382,4.0
sigmoid,128.0,2.150949478149414,4.0
tanh,1.0,0.3894056975841522,4.0
tanh,2.0,0.3896697759628296,4.0
tanh,4.0,0.001257987692952156,4.0
tanh,8.0,0.031832072883844376,4.0
tanh,16.0,0.036112867295742035,4.0
tanh,32.0,0.007031436078250408,4.0
tanh,64.0,0.5799837112426758,4.0
tanh,128.0,0.6056978702545166,4.0
relu,1.0,0.4623878300189972,4.0
relu,2.0,0.35305255651474,4.0
relu,4.0,0.07952029258012772,4.0
relu,8.0,0.014955819584429264,4.0
relu,16.0,1.1308671236038208,4.0
relu,32.0,1.1308194398880005,4.0
relu,64.0,1.1308766603469849,4.0
relu,128.0,1.1308221817016602,4.0
sigmoid,1.0,0.47243109345436096,4.0
sigmoid,2.0,0.4777916967868805,4.0
sigmoid,4.0,0.4792219400405884,4.0
sigmoid,8.0,0.5484100580215454,4.0
sigmoid,16.0,1.1308473348617554,4.0
sigmoid,32.0,1.130634069442749,4.0
sigmoid,64.0,1.1307456493377686,4.0
sigmoid,128.0,1.1306982040405273,4.0
tanh,1.0,0.4683845043182373,4.0
tanh,2.0,0.4315749704837799,4.0
tanh,4.0,0.4066371023654938,4.0
tanh,8.0,0.00031061176559887826,4.0
tanh,16.0,0.004471014253795147,4.0
tanh,32.0,0.004397212527692318,4.0
tanh,64.0,0.5645325779914856,4.0
tanh,128.0,0.6207306385040283,4.0
relu,4.0,1.0158697366714478,1.0
relu,4.0,3.2462544441223145,2.0
relu,4.0,0.17538392543792725,4.0
relu,4.0,0.01005080807954073,8.0
relu,4.0,0.0007238892721943557,16.0
relu,4.0,0.0003443136520218104,32.0
relu,4.0,0.0004915301105938852,64.0
relu,4.0,0.0002403874386800453,128.0
relu,4.0,0.0004154265043325722,256.0
sigmoid,4.0,0.6762353777885437,1.0
sigmoid,4.0,0.45033565163612366,2.0
sigmoid,4.0,0.4455832242965698,4.0
sigmoid,4.0,0.44505950808525085,8.0
sigmoid,4.0,0.3628619313240051,16.0
sigmoid,4.0,0.12584377825260162,32.0
sigmoid,4.0,0.01642530970275402,64.0
sigmoid,4.0,0.00289042666554451,128.0
sigmoid,4.0,0.0016436026198789477,256.0
tanh,4.0,0.4430615305900574,1.0
tanh,4.0,0.44255727529525757,2.0
tanh,4.0,0.3846959173679352,4.0
tanh,4.0,0.10473242402076721,8.0
tanh,4.0,0.0055690184235572815,16.0
tanh,4.0,0.001265113241970539,32.0
tanh,4.0,0.0017041233368217945,64.0
tanh,4.0,0.0019369791261851788,128.0
tanh,4.0,0.0024586846120655537,256.0
relu,4.0,2.151193857192993,1.0
relu,4.0,0.3627927899360657,2.0
relu,4.0,2.1512625217437744,4.0
relu,4.0,0.17439895868301392,8.0
relu,4.0,0.0005262616905383766,16.0
relu,4.0,0.0004799675371032208,32.0
relu,4.0,0.0003158407926093787,64.0
relu,4.0,0.0003411642974242568,128.0
relu,4.0,0.0002736536553129554,256.0
sigmoid,4.0,0.5357427597045898,1.0
sigmoid,4.0,0.4574393928050995,2.0
sigmoid,4.0,0.4096829295158386,4.0
sigmoid,4.0,0.39842936396598816,8.0
sigmoid,4.0,0.3916304409503937,16.0
sigmoid,4.0,0.39084193110466003,32.0
sigmoid,4.0,0.3918125331401825,64.0
sigmoid,4.0,0.38923460245132446,128.0
sigmoid,4.0,0.0008720263722352684,256.0
tanh,4.0,0.3937482535839081,1.0
tanh,4.0,0.1292296200990677,2.0
tanh,4.0,0.3893638253211975,4.0
tanh,4.0,0.3906736373901367,8.0
tanh,4.0,0.3903034031391144,16.0
tanh,4.0,0.38948288559913635,32.0
tanh,4.0,0.39041849970817566,64.0
tanh,4.0,0.3907800614833832,128.0
tanh,4.0,0.38978472352027893,256.0
relu,4.0,1.1308807134628296,1.0
relu,4.0,0.349783718585968,2.0
relu,4.0,0.3506341576576233,4.0
relu,4.0,0.0009465532493777573,8.0
relu,4.0,0.00031886642682366073,16.0
relu,4.0,0.00018222027574665844,32.0
relu,4.0,0.00010338534775655717,64.0
relu,4.0,7.169029413489625e-05,128.0
relu,4.0,5.230120223131962e-05,256.0
sigmoid,4.0,0.5525860786437988,1.0
sigmoid,4.0,0.5618990659713745,2.0
sigmoid,4.0,0.5137897729873657,4.0
sigmoid,4.0,0.48283177614212036,8.0
sigmoid,4.0,0.47705981135368347,16.0
sigmoid,4.0,0.4740423858165741,32.0
sigmoid,4.0,0.4209633767604828,64.0
sigmoid,4.0,0.0007977203349582851,128.0
sigmoid,4.0,0.0002701338962651789,256.0
tanh,4.0,0.5484508872032166,1.0
tanh,4.0,0.4727576673030853,2.0
tanh,4.0,0.4725426435470581,4.0
tanh,4.0,0.29899436235427856,8.0
tanh,4.0,0.0007437352905981243,16.0
tanh,4.0,0.4455278515815735,32.0
tanh,4.0,0.4678875505924225,64.0
tanh,4.0,0.467161625623703,128.0
tanh,4.0,0.46857374906539917,256.0
